CN-0056,,Dangyang Air Base,M,30.7986,111.8100,,,CN,
CN-0057,,Foluo Northeast Air Base,M,18.6922,109.1610,,,CN,
CN-0061,FUO,Foshan Shadi Airport,M,23.0833,113.0700,,,CN,Foshan
CN-0063,,Guiping Mengshu Air Base,M,23.3308,110.0090,,,CN,
CN-0068,HUZ,Huizhou Airport,M,23.0500,114.6000,,,CN,Huizhou
CN-0069,,Jialaishi Air Base,M,19.6972,109.7260,,,CN,
CN-0071,,Leiyang Air Base,M,26.5872,112.8920,,,CN,
CN-0072,,Lingshui Air Base,M,18.4944,109.9880,,,CN,
CN-0079,HSC,Shaoguan Guitou Airport,M,24.9786,113.4210,,,CN,Shaoguan
CN-0080,,Suixi Air Base,M,21.3958,110.2000,,,CN,
CN-0081,JGS,Jinggangshan Airport,M,26.8569,114.7370,,,CN,Ji'an
CN-0082,AEB,Baise Youjiang Airport,M,23.7206,106.9600,,,CN,Baise
CN-0085,,Xiaogan Air Base,M,30.9544,113.9110,,,CN,
CN-0089,,Baitabu Air Base,M,34.5714,118.8750,,,CN,
CN-0090,,Cangxian Air Base,M,38.4025,116.9290,,,CN,
CN-0091,DOY,Dongying Shengli Airport,M,37.5086,118.7880,,,CN,Dongying
CN-0092,,Jiaozhou/Jiaocheng Air Base,M,36.3306,120.0240,,,CN,
CN-0093,,Jinan Air Base,M,36.6792,116.9210,,,CN,
CN-0094,,Jiugucheng Air Base,M,37.4900,116.1180,,,CN,
CN-0095,,Kaifeng Air Base,M,34.7539,114.3390,,,CN,Kaifeng
CN-0096,,Laiyang Air Base,M,36.9636,120.5910,,,CN,
CN-0097,,Luyang Air Base,M,33.6847,112.8910,,,CN,
CN-0100,,Qingdao-Cangkou Air Base,M,36.1592,120.3920,,,CN,
CN-0103,,Wendeng Air Base,M,37.2647,122.0230,,,CN,
CN-0104,XEN,Xingcheng Air Base,M,40.5803,120.6980,,,CN,
CN-0105,,Xuzhou Daguozhang Air Base,M,34.0589,117.5580,,,CN,
CN-0106,,Xuzhou Jiulishan Air Base,M,34.2306,117.2460,,,CN,
CN-0109,,Yidu Air Base,M,36.5914,118.5270,,,CN,
CN-0111,,Zhucheng Air Base,M,36.0275,119.4390,,,CN,
CN-0113,AAT,Altay Air Base,M,47.7499,88.0858,,,CN,Altay
CN-0114,,Baoji Air Base,M,34.5317,107.4720,,,CN,
CN-0117,,Gonghe Air Base,M,36.3367,100.4800,,,CN,
CN-0123,,Lanzhou Air Base,M,35.9178,104.2180,,,CN,Lanzhou
CN-0125,,Ljtao Air Base,M,35.3083,103.8360,,,CN,
CN-0127,,Qingshui Air Base,M,39.5547,98.8842,,,CN,
CN-0130,THQ,Tianshui Maijishan Airport,M,34.5594,105.8600,,,CN,Tianshui
CN-0132,,Urumqi South Air Base,M,43.4658,87.5322,,,CN,
CN-0133,,Uxxaktal Air Base,M,42.1814,87.1881,,,CN,
CN-0134,,Wugong Air Base,M,34.2742,108.2660,,,CN,
CN-0135,,Wulumuqi Air Base,M,43.9503,87.0786,,,CN,
CN-0136,,Wuwei Air Base,M,37.9883,102.5670,,,CN,
CN-0137,,Xian Air Base,M,34.1539,108.5990,,,CN,
CN-0138,,Xincheng Air Base,M,25.5483,114.6190,,,CN,
CN-0139,,Yaerbashi Test Range,M,43.0772,92.8081,,,CN,
CN-0140,,Yanliang Air Base,M,34.6439,109.2430,,,CN,
CN-0143,YZY,Zhangye Southeast Air Base,M,38.8019,100.6750,,,CN,
CN-0145,,Changzing Air Base,M,30.9686,119.7310,,,CN,
CN-0146,,Daishan Air Base,M,30.2878,122.1450,,,CN,
CN-0147,,Feidong Air Base,M,31.9094,117.6590,,,CN,
CN-0149,,Fuzhou Air Base,M,26.0044,119.3120,,,CN,Fuzhou
CN-0152,,Huian Air Base,M,25.0261,118.8070,,,CN,
CN-0153,,Jianqiao/Hangzhou Airfield,M,30.3353,120.2410,,,CN,Hangzhou
CN-0154,,Jiaxing Air Base,M,30.7066,120.6806,,,CN,
CN-0158,,Longtian/Lung-T'ien Air Base,M,25.5728,119.4600,,,CN,
CN-0159,,Longyou Air Base,M,29.1131,119.1770,,,CN,
CN-0161,,Mahuiling Air Base,M,29.4772,115.8020,,,CN,
CN-0162,,Nanchang New Airfield,M,28.6356,115.9300,,,CN,Nanchang
CN-0163,,Nanchang Xiangtang Air Base,M,28.4208,115.9240,,,CN,Nanchang
CN-0165,,Ningbo Zhangqiao Air Base,M,29.9228,121.5740,,,CN,
CN-0169,,Shanghai Dachang Air Base,M,31.3236,121.4110,,,CN,Shanghai
CN-0171,,Shanghai Longhua Airport,M,31.1669,121.4540,,,CN,Shanghai
CN-0182,,Zhangshu Air Base,M,28.0217,115.5510,,,CN,
CN-0185,,Changchun Air Base,M,43.9053,125.1980,,,CN,
CN-0187,,Chifeng Air Base,M,42.1589,118.8420,,,CN,
CN-0189,DDG,Dandong Airport,M,40.0247,124.2860,,,CN,Dandong
CN-0190,,Dingxin/Shuangchengzi Air Base,M,40.4014,99.7894,,,CN,
CN-0191,,Fuxin Air Base,M,42.0789,121.6620,,,CN,
CN-0192,,Gongzhuling Air Base,M,43.5242,124.7860,,,CN,
CN-0193,,Harbin Air Base,M,45.5975,126.6590,,,CN,
CN-0197,,Kaiyuan Air Base,M,42.5258,123.9820,,,CN,
CN-0198,,Lalin Air Base,M,45.2594,126.8950,,,CN,
CN-0201,,Pingquan Air Base,M,40.9008,118.6810,,,CN,
CN-0204,,Shenyang Beiling Air Base,M,41.8708,123.4390,,,CN,Shenyang
CN-0206,,Shenyang Yu Hung Tun Air Base,M,41.8225,123.2990,,,CN,Shenyang
CN-0208,,Siping Air Base,M,43.1569,124.2920,,,CN,
CN-0209,,Suizhong Air Base,M,40.2989,120.3590,,,CN,
CN-0210,,Tuchengzi Air Base,M,38.9122,121.2390,,,CN,
CN-0212,,Yingchenzi/Xinzhaizi-Dalian Air Base,M,39.0106,121.3900,,,CN,
CN-JNZ,,Sanshilipu Air Base,M,39.2895,121.7610,,,CN,Dalian
CNC3,,Brampton Airport,M,43.7567,-79.8794,43.7642,-79.8694,CA,Brampton
CY-0002,GEC,Geçitkale Air Base,M,35.2359,33.7244,,,CY,Geçitkale
CYAC,YAC,Cat Lake Airport,M,51.7272,-91.8244,,,CA,Cat Lake
CYAG,YAG,Fort Frances Municipal Airport,M,48.6508,-93.4481,48.6586,-93.4330,CA,Fort Frances
CYAH,YAH,La Grande-4 Airport,M,53.7547,-73.6753,,,CA,La Grande-4
CYAL,YAL,Alert Bay Airport,M,50.5822,-126.9160,,,CA,Alert Bay
CYAM,YAM,Sault Ste Marie Airport,M,46.4778,-84.5194,46.4917,-84.4969,CA,Sault Ste Marie
CYAQ,XKS,Kasabonika Airport,M,53.5247,-88.6428,,,CA,Kasabonika
CYAS,YKG,Kangirsuk Airport,M,60.0272,-69.9992,,,CA,Kangirsuk
